benchmark,arch,lambda_val,lambda_regime,n_seeds,mean_lambda_max_hessian,std_lambda_max_hessian,max_lambda_max_hessian,eos_ceiling_2_over_eta,below_eos_ceiling,basin_type
scan_jump,gru_baseline,0.0,subcritical,10,5.64008454304847e-07,5.426164619185263e-07,1.5000066024752952e-06,2000.0,True,shortcut_basin_Es
scan_jump,gru_baseline,0.025,boundary,10,6.352337680256092e-07,8.449320114600792e-07,1.8825172140141088e-06,2000.0,True,coherent_basin_Ec
scan_jump,gru_baseline,0.5,supercritical,10,3.296308936503724e-07,5.20434946343653e-07,1.4486624165210153e-06,2000.0,True,coherent_basin_Ec
scan_jump,transformer_2l,0.0,subcritical,30,3.352548729210745e-05,1.1818691160519965e-05,6.388585312850399e-05,2000.0,True,shortcut_basin_Es
scan_jump,transformer_2l,0.015,subcritical,30,3.710984087095961e-05,9.95036474947247e-06,5.4684206253911445e-05,2000.0,True,shortcut_basin_Es
scan_jump,transformer_2l,0.02,boundary,30,2.824995403709599e-05,6.90460579227862e-06,4.51706782610545e-05,2000.0,True,shortcut_basin_Es
scan_jump,transformer_2l,0.025,boundary,30,3.196637881154281e-05,9.62618812281506e-06,5.635667891150579e-05,2000.0,True,coherent_basin_Ec
scan_jump,transformer_2l,0.03,boundary,30,2.894800631060093e-05,8.815507217639102e-06,4.807342388877217e-05,2000.0,True,coherent_basin_Ec
scan_jump,transformer_2l,0.5,supercritical,30,2.690767542522266e-05,1.0011906295727823e-05,4.323401604951944e-05,2000.0,True,coherent_basin_Ec
scan_jump,transformer_4l_scaled,0.0,subcritical,10,0.00064824318986117,0.00017452627340220692,0.0009832178605467,2000.0,True,shortcut_basin_Es
scan_jump,transformer_4l_scaled,0.025,boundary,10,0.0017056167275940198,0.00030132768394429383,0.002100145057876,2000.0,True,coherent_basin_Ec
scan_jump,transformer_4l_scaled,0.5,supercritical,10,0.10686911594945392,0.02567429094218172,0.1460043091082758,2000.0,True,coherent_basin_Ec
