study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S011,P02_0599,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,Daniel Furrer; Marc van Zee; Nathan Scales; Nathanael Schärli,2020,,2007.08970v3,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2007.08970v3
S012,P02_0600,Learning to Substitute Components for Compositional Generalization,Zhaoyi Li; Gangwei Jiang; Chenwang Wu; Ying Wei; Defu Lian; Enhong Chen,2025,,2502.20834v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2502.20834v1
S013,P02_0601,Span-based Semantic Parsing for Compositional Generalization,Jonathan Herzig; Jonathan Berant,2020,,2009.06040v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2009.06040v2
S014,P02_0602,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,Osman Batur İnce; Tanin Zeraati; Semih Yagcioglu; Yadollah Yaghoobzadeh; Erkut Erdem; Aykut Erdem,2023,,2310.12118v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2310.12118v1
S015,P02_0603,Learning to Substitute Spans towards Improving Compositional Generalization,Zhaoyi Li; Ying Wei; Defu Lian,2023,,2306.02840v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2306.02840v1
S016,P02_0604,On the Compositional Generalization Gap of In-Context Learning,Arian Hosseini; Ankit Vani; Dzmitry Bahdanau; Alessandro Sordoni; Aaron Courville,2022,,2211.08473v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2211.08473v1
S017,P02_0605,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,Zhiyu An; Wan Du,2026,,2601.18858v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2601.18858v2
S018,P02_0606,Compositional Generalization in Dependency Parsing,Emily Goodwin; Siva Reddy; Timothy J. O'Donnell; Dzmitry Bahdanau,2021,,2110.06843v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2110.06843v2
S019,P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,Yinuo Guo; Hualei Zhu; Zeqi Lin; Bei Chen; Jian-Guang Lou; Dongmei Zhang,2020,,2012.04276v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2012.04276v1
S020,P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,Dmitry Tsarkov; Tibor Tihon; Nathan Scales; Nikola Momchev; Danila Sinopalnikov; Nathanael Schärli,2020,,2012.08266v1,arXiv:benchmark,,http://arxiv.org/abs/2012.08266v1
