study_id,id,title,year,overall,peer_reviewed,code_available,n_seeds_value,task_primary,benchmark_family,arch_family,model_scale_category,train_regime_sigma,baseline_regime,id_acc_mean,ood_acc_mean,id_acc_sd,ood_acc_sd,id_ood_gap,lor,cohens_d,gap_se,outlier,interventional,schema_coherence_measured,repr_analysis,relevance_sigma_trap,relevance_alignment,S0,S1_not_high,S2_low_only,S3_peer_reviewed,S4_code,S5_seeds_ge3
S051,P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,HIGH,TRUE,TRUE,,custom,custom,transformer,unspecified,not_applicable,other,0.745,,,,,,,,False,False,FALSE,none,4,1,True,False,False,True,True,False
S052,P02_0500,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,2025,HIGH,TRUE,FALSE,,custom,custom,transformer,unspecified,not_applicable,,,0.959,,,,,,,False,False,FALSE,none,2,2,True,False,False,True,False,False
S053,P02_0503,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,HIGH,TRUE,FALSE,5,custom,custom,gnn,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,3,1,True,False,False,True,False,True
S054,P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,2026,HIGH,TRUE,FALSE,,custom,custom,vit,large,not_applicable,,0.506,0.541,,,-0.035,-0.14036791668639342,,0.07058916347428973,False,False,FALSE,none,4,1,True,False,False,True,False,False
S055,P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,2021,HIGH,TRUE,FALSE,5,CFQ,CFQ,transformer,unspecified,not_applicable,,,0.391,,,,,,,False,False,FALSE,attention_patterns,4,2,True,False,False,True,False,True
S056,P02_0511,PTAN: Principal Token-aware Adjacent Network for Compositional Temporal Grounding,2024,HIGH,TRUE,TRUE,,custom,custom,transformer,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,True,True,False
S057,P02_0514,Towards Domain-Aware Stable Meta Learning for Out-of-Distribution Generalization,2024,HIGH,TRUE,FALSE,,PACS,custom,mlp,unspecified,not_applicable,standard_SGD,,0.83,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,False,False
S058,P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,2023,UNCLEAR,TRUE,TRUE,3,PACS,custom,vit,unspecified,not_applicable,,,0.9182,,0.009,,,,,False,False,FALSE,other,3,2,True,True,False,True,True,True
S059,P02_0556,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,HIGH,TRUE,TRUE,3,custom,custom,transformer,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,2,1,True,False,False,True,True,True
S060,P02_0576,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,HIGH,TRUE,FALSE,,CelebA,CelebA,transformer,unspecified,not_applicable,,0.806,0.745,0.008,0.012,0.061,0.35210491022216717,5.981542121714618,0.05885057348913433,False,False,FALSE,other,3,3,True,False,False,True,False,False
S061,P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,HIGH,TRUE,TRUE,5,COGS,COGS,transformer,medium,not_applicable,standard_Adam,0.99,0.35,,0.06,0.64,2.8162637857424433,,0.21789905919943758,False,False,FALSE,none,3,1,True,False,False,True,True,True
