id,title,year,doi,arxiv_id,url,decision,status,attempts,pdf_path
P02_0503,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,10.1145/3690624.3709227,,https://www.scopus.com/pages/publications/105014319311?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,2026,10.1609/aaai.v40i15.38221,,https://www.scopus.com/pages/publications/105034611968?origin=resultslist,Include,retrieved-oa,openalex:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0507_Yuan_2026.pdf
P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,2021,10.18653/v1/2021.naacl-main.225,,https://www.scopus.com/pages/publications/85113232545?origin=resultslist,Include,retrieved-oa,openalex:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0510_Yin_2021.pdf
P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,2023,10.1609/aaai.v37i9.26355,,https://www.scopus.com/pages/publications/85168250126?origin=resultslist,Include,retrieved-oa,openalex:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0542_Zhu_2023.pdf
P02_0556,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,10.1007/978-3-032-06106-5_16,,https://www.scopus.com/pages/publications/105020019263?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0576,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,10.1145/3711896.3737002,,https://www.scopus.com/pages/publications/105014587407?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,,2010.05465v1,http://arxiv.org/abs/2010.05465v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0594_Kim_2020.pdf
P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),2025,,2504.15349v3,http://arxiv.org/abs/2504.15349v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0595_Bruns_2025.pdf
P02_0596,SLOG: A Structural Generalization Benchmark for Semantic Parsing,2023,,2310.15040v1,http://arxiv.org/abs/2310.15040v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0596_Li_2023.pdf
P02_0597,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,2021,,2111.03642v1,http://arxiv.org/abs/2111.03642v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0597_Gai_2021.pdf
P02_0598,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,2024,,2403.11834v1,http://arxiv.org/abs/2403.11834v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0598_Han_2024.pdf
P02_0599,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,2020,,2007.08970v3,http://arxiv.org/abs/2007.08970v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0599_Furrer_2020.pdf
P02_0600,Learning to Substitute Components for Compositional Generalization,2025,,2502.20834v1,http://arxiv.org/abs/2502.20834v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0600_Li_2025.pdf
P02_0602,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,2023,,2310.12118v1,http://arxiv.org/abs/2310.12118v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0602_nce_2023.pdf
P02_0604,On the Compositional Generalization Gap of In-Context Learning,2022,,2211.08473v1,http://arxiv.org/abs/2211.08473v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0604_Hosseini_2022.pdf
P02_0605,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,2026,,2601.18858v2,http://arxiv.org/abs/2601.18858v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0605_An_2026.pdf
P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,2020,,2012.04276v1,http://arxiv.org/abs/2012.04276v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0607_Guo_2020.pdf
P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,2020,,2012.08266v1,http://arxiv.org/abs/2012.08266v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0608_Tsarkov_2020.pdf
P02_0610,Think before you act: A simple baseline for compositional generalization,2020,,2009.13962v2,http://arxiv.org/abs/2009.13962v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0610_Heinze_Deml_2020.pdf
P02_0611,How Do In-Context Examples Affect Compositional Generalization?,2023,,2305.04835v3,http://arxiv.org/abs/2305.04835v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0611_An_2023.pdf
P02_0612,Hierarchical Poset Decoding for Compositional Generalization in Language,2020,,2010.07792v1,http://arxiv.org/abs/2010.07792v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0612_Guo_2020.pdf
P02_0613,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,2021,,2104.07478v1,http://arxiv.org/abs/2104.07478v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0613_Herzig_2021.pdf
P02_0614,Compositional Generalization by Learning Analytical Expressions,2020,,2006.10627v2,http://arxiv.org/abs/2006.10627v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0614_Liu_2020.pdf
P02_0615,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,2021,,2108.03509v2,http://arxiv.org/abs/2108.03509v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0615_Cui_2021.pdf
P02_0616,Data Factors for Better Compositional Generalization,2023,,2311.04420v1,http://arxiv.org/abs/2311.04420v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0616_Zhou_2023.pdf
P02_0617,Iterative Decoding for Compositional Generalization in Transformers,2021,,2110.04169v2,http://arxiv.org/abs/2110.04169v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0617_Ruiz_2021.pdf
P02_0618,Structural generalization in COGS: Supertagging is (almost) all you need,2023,,2310.14124v1,http://arxiv.org/abs/2310.14124v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0618_Petit_2023.pdf
P02_0619,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,2022,,2210.12786v2,http://arxiv.org/abs/2210.12786v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0619_Sikarwar_2022.pdf
